INFO:root:正在运行cycle线程
INFO:root:正在运行mq线程
2023-07-10 15:06:08,062 正在运行cycle线程
2023-07-10 15:06:08,064 正在运行mq线程
2023-07-10 15:06:08,088 不在指定工作时间
2023-07-10 15:06:12,974 数据已成功写入数据库
2023-07-10 15:06:13,976 正在运行mq线程
2023-07-10 15:06:15,162 数据已成功写入数据库
2023-07-10 15:06:16,164 正在运行mq线程
2023-07-10 15:06:17,297 数据已成功写入数据库
2023-07-10 15:06:18,299 正在运行mq线程
2023-07-10 15:06:19,571 数据已成功写入数据库
2023-07-10 15:06:20,572 正在运行mq线程
2023-07-10 15:06:21,705 数据已成功写入数据库
2023-07-10 15:06:22,707 正在运行mq线程
2023-07-10 15:06:23,823 数据已成功写入数据库
2023-07-10 15:06:24,824 正在运行mq线程
2023-07-10 15:06:25,958 数据已成功写入数据库
2023-07-10 15:06:26,959 正在运行mq线程
2023-07-10 15:06:28,089 数据已成功写入数据库
2023-07-10 15:06:29,090 正在运行mq线程
2023-07-10 15:06:30,340 数据已成功写入数据库
2023-07-10 15:06:31,342 正在运行mq线程
2023-07-10 15:06:32,477 数据已成功写入数据库
2023-07-10 15:06:33,478 正在运行mq线程
2023-07-10 15:06:34,582 数据已成功写入数据库
2023-07-10 15:06:35,583 正在运行mq线程
2023-07-10 15:06:36,719 数据已成功写入数据库
2023-07-10 15:06:37,721 正在运行mq线程
2023-07-10 15:06:38,808 数据已成功写入数据库
2023-07-10 15:06:39,810 正在运行mq线程
2023-07-10 15:06:41,071 数据已成功写入数据库
2023-07-10 15:06:42,073 正在运行mq线程
2023-07-10 15:06:43,185 数据已成功写入数据库
2023-07-10 15:06:44,186 正在运行mq线程
2023-07-10 15:06:45,319 数据已成功写入数据库
2023-07-10 15:06:46,320 正在运行mq线程
2023-07-10 15:06:47,453 数据已成功写入数据库
2023-07-10 15:06:48,454 正在运行mq线程
2023-07-10 15:06:49,521 数据已成功写入数据库
2023-07-10 15:06:50,523 正在运行mq线程
2023-07-10 15:06:51,731 数据已成功写入数据库
2023-07-10 15:06:52,732 正在运行mq线程
2023-07-10 15:06:53,864 数据已成功写入数据库
2023-07-10 15:06:54,865 正在运行mq线程
2023-07-10 15:06:56,011 数据已成功写入数据库
2023-07-10 15:06:57,013 正在运行mq线程
2023-07-10 15:06:58,082 数据已成功写入数据库
2023-07-10 15:06:59,083 正在运行mq线程
2023-07-10 15:07:00,214 数据已成功写入数据库
2023-07-10 15:07:01,215 正在运行mq线程
2023-07-10 15:07:02,404 数据已成功写入数据库
2023-07-10 15:07:03,405 正在运行mq线程
2023-07-10 15:07:04,496 数据已成功写入数据库
2023-07-10 15:07:05,498 正在运行mq线程
2023-07-10 15:07:06,606 数据已成功写入数据库
2023-07-10 15:07:07,606 正在运行mq线程
2023-07-10 15:07:08,753 数据已成功写入数据库
2023-07-10 15:07:09,755 正在运行mq线程
2023-07-10 15:07:10,907 数据已成功写入数据库
2023-07-10 15:07:11,908 正在运行mq线程
2023-07-10 15:07:13,156 数据已成功写入数据库
2023-07-10 15:07:14,158 正在运行mq线程
2023-07-10 15:07:15,305 数据已成功写入数据库
2023-07-10 15:07:16,307 正在运行mq线程
2023-07-10 15:07:17,403 数据已成功写入数据库
2023-07-10 15:07:18,404 正在运行mq线程
2023-07-10 15:07:19,515 数据已成功写入数据库
2023-07-10 15:07:20,517 正在运行mq线程
2023-07-10 15:07:21,671 数据已成功写入数据库
2023-07-10 15:07:22,673 正在运行mq线程
2023-07-10 15:07:23,893 数据已成功写入数据库
2023-07-10 15:07:24,894 正在运行mq线程
2023-07-10 15:07:25,982 数据已成功写入数据库
2023-07-10 15:07:26,983 正在运行mq线程
2023-07-10 15:07:28,072 数据已成功写入数据库
2023-07-10 15:07:29,073 正在运行mq线程
2023-07-10 15:07:30,175 数据已成功写入数据库
2023-07-10 15:07:31,176 正在运行mq线程
2023-07-10 15:07:32,339 数据已成功写入数据库
2023-07-10 15:07:33,340 正在运行mq线程
2023-07-10 15:07:34,568 数据已成功写入数据库
2023-07-10 15:07:35,570 正在运行mq线程
2023-07-10 15:07:36,706 数据已成功写入数据库
2023-07-10 15:07:37,707 正在运行mq线程
2023-07-10 15:07:38,835 数据已成功写入数据库
2023-07-10 15:07:39,837 正在运行mq线程
2023-07-10 15:07:40,934 数据已成功写入数据库
2023-07-10 15:07:41,935 正在运行mq线程
2023-07-10 15:07:43,075 数据已成功写入数据库
2023-07-10 15:07:44,077 正在运行mq线程
2023-07-10 15:07:45,282 数据已成功写入数据库
2023-07-10 15:07:46,284 正在运行mq线程
2023-07-10 15:07:47,416 数据已成功写入数据库
2023-07-10 15:07:48,417 正在运行mq线程
2023-07-10 15:07:49,562 数据已成功写入数据库
2023-07-10 15:07:50,564 正在运行mq线程
2023-07-10 15:07:51,744 数据已成功写入数据库
2023-07-10 15:07:52,746 正在运行mq线程
2023-07-10 15:07:53,884 数据已成功写入数据库
2023-07-10 15:07:54,886 正在运行mq线程
2023-07-10 15:07:56,120 数据已成功写入数据库
2023-07-10 15:07:57,121 正在运行mq线程
2023-07-10 15:07:58,245 数据已成功写入数据库
2023-07-10 15:07:59,247 正在运行mq线程
2023-07-10 15:08:00,346 数据已成功写入数据库
2023-07-10 15:08:01,347 正在运行mq线程
2023-07-10 15:08:02,515 数据已成功写入数据库
2023-07-10 15:08:03,517 正在运行mq线程
2023-07-10 15:08:04,670 数据已成功写入数据库
2023-07-10 15:08:05,671 正在运行mq线程
2023-07-10 15:08:06,915 数据已成功写入数据库
2023-07-10 15:08:07,917 正在运行mq线程
2023-07-10 15:08:09,011 数据已成功写入数据库
2023-07-10 15:08:10,013 正在运行mq线程
2023-07-10 15:08:11,119 数据已成功写入数据库
2023-07-10 15:08:12,121 正在运行mq线程
2023-07-10 15:08:13,253 数据已成功写入数据库
2023-07-10 15:08:14,254 正在运行mq线程
2023-07-10 15:08:15,356 数据已成功写入数据库
2023-07-10 15:08:16,357 正在运行mq线程
2023-07-10 15:08:17,604 数据已成功写入数据库
2023-07-10 15:08:18,606 正在运行mq线程
2023-07-10 15:08:19,733 数据已成功写入数据库
2023-07-10 15:08:20,734 正在运行mq线程
2023-07-10 15:08:21,881 数据已成功写入数据库
2023-07-10 15:08:22,882 正在运行mq线程
2023-07-10 15:08:23,997 数据已成功写入数据库
2023-07-10 15:08:24,998 正在运行mq线程
2023-07-10 15:08:26,110 数据已成功写入数据库
2023-07-10 15:08:27,112 正在运行mq线程
2023-07-10 15:08:28,337 数据已成功写入数据库
2023-07-10 15:08:29,338 正在运行mq线程
2023-07-10 15:08:30,454 数据已成功写入数据库
2023-07-10 15:08:31,455 正在运行mq线程
2023-07-10 15:08:32,632 数据已成功写入数据库
2023-07-10 15:08:33,633 正在运行mq线程
2023-07-10 15:08:34,757 数据已成功写入数据库
2023-07-10 15:08:35,758 正在运行mq线程
2023-07-10 15:08:36,864 数据已成功写入数据库
2023-07-10 15:08:37,865 正在运行mq线程
2023-07-10 15:08:39,096 数据已成功写入数据库
2023-07-10 15:08:40,097 正在运行mq线程
2023-07-10 15:08:41,199 数据已成功写入数据库
2023-07-10 15:08:42,200 正在运行mq线程
2023-07-10 15:08:43,287 数据已成功写入数据库
2023-07-10 15:08:44,289 正在运行mq线程
2023-07-10 15:08:45,400 数据已成功写入数据库
2023-07-10 15:08:46,401 正在运行mq线程
2023-07-10 15:08:47,466 数据已成功写入数据库
2023-07-10 15:08:48,467 正在运行mq线程
2023-07-10 15:08:49,671 数据已成功写入数据库
2023-07-10 15:08:50,673 正在运行mq线程
2023-07-10 15:08:51,789 数据已成功写入数据库
2023-07-10 15:08:52,792 正在运行mq线程
2023-07-10 15:08:53,949 数据已成功写入数据库
2023-07-10 15:08:54,950 正在运行mq线程
2023-07-10 15:08:56,081 数据已成功写入数据库
2023-07-10 15:08:57,082 正在运行mq线程
2023-07-10 15:08:58,188 数据已成功写入数据库
2023-07-10 15:08:59,189 正在运行mq线程
2023-07-10 15:09:00,393 数据已成功写入数据库
2023-07-10 15:10:45,416 正在运行cycle线程
2023-07-10 15:10:45,417 正在运行mq线程
2023-07-10 15:10:45,437 不在指定工作时间
2023-07-10 15:10:50,318 数据已成功写入数据库
2023-07-10 15:10:51,319 正在运行mq线程
2023-07-10 15:10:52,463 数据已成功写入数据库
2023-07-10 15:10:53,464 正在运行mq线程
2023-07-10 15:10:54,642 数据已成功写入数据库
2023-07-10 15:10:55,644 正在运行mq线程
2023-07-10 15:10:56,911 数据已成功写入数据库
2023-07-10 15:10:57,912 正在运行mq线程
2023-07-10 15:10:59,079 数据已成功写入数据库
2023-07-10 15:11:00,080 正在运行mq线程
2023-07-10 15:11:01,211 数据已成功写入数据库
2023-07-10 15:11:02,212 正在运行mq线程
2023-07-10 15:11:03,335 数据已成功写入数据库
2023-07-10 15:11:04,336 正在运行mq线程
2023-07-10 15:11:05,513 数据已成功写入数据库
2023-07-10 15:11:06,515 正在运行mq线程
2023-07-10 15:11:07,777 数据已成功写入数据库
2023-07-10 15:11:08,778 正在运行mq线程
2023-07-10 15:11:09,922 数据已成功写入数据库
2023-07-10 15:11:10,923 正在运行mq线程
2023-07-10 15:11:12,033 数据已成功写入数据库
2023-07-10 15:11:13,035 正在运行mq线程
2023-07-10 15:11:14,215 数据已成功写入数据库
2023-07-10 15:11:15,218 正在运行mq线程
2023-07-10 15:11:16,334 数据已成功写入数据库
2023-07-10 15:11:17,335 正在运行mq线程
2023-07-10 15:11:18,538 数据已成功写入数据库
2023-07-10 15:11:19,540 正在运行mq线程
